S.No,Category,Main tag,Sub tag,Main tag 2,Sub tag 2,Main tag 2,Sub tag 2,Sub category,Sub category-2,,Title,Upload time(in yrs),Length ( min rounder to next minute),Views(In K rounded to '000s),Likes ( In K rounded to next),Singer/Narrator,Lable/Owner/YT channel,Link,Comment,,,Main tag,Sub tag,Category,Sub Category,Sub Category-2,Sub category-3,Singer,Lable
45,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,इस भजन को रोज सुबह - शाम सुनने से आप जीवन में कभी निराश नहीं होंगे..,18,11,111399,463,male,other,https://www.youtube.com/watch?v=5yzUMFWm4Hw,,,,,,,,,,,
46,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,Waltzing My Krishna - Krishna Das Live! Songs With Lyrics,17,21,2269,23,male,other,https://www.youtube.com/watch?v=o6FkNyz72FE,,,,,,,,,,,
47,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,राधे राधे बोल Radhe Radhe Bol I DEVI CHITRALEKHA I Radha Krishna Bhajan I Full HD Video Song,12,46,47271,220,female,other,https://www.youtube.com/watch?v=mZPSHAKR_9c,,,,,,,,,,,
48,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Tera Kisne Kiya Shringaar श्याम की तरह ही खूबसूरत है ये भजन : Superhit Krishna Bhajan,21,8,346,3,female,other,https://www.youtube.com/watch?v=g0nte5Jtoc4,,,,,,,,,,,
49,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,मेरी लगी श्याम संग प्रीत ~ गाते गाते आंखों में आया पानी ~ Jaya Kishori Ji bhajan,20,18,57018,393,female,other,https://www.youtube.com/watch?v=nik9buiM-2k,,,,,,,,,,,
50,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,पकड़ लो हाथ बनवारी नहीं तो डूब जाएंगे | Pakad Lo Hath Banwari Nahi To Doob Jaunga | Superhit Bhajan,20,8,10463,117,male,other,https://www.youtube.com/watch?v=Z4gw4kfgXUc,,,,,,,,,,,
51,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,Hare Krishna Hare | Palak Muchhal | Akanksha Puri | Poonam T | Shabbir A | Rajeev K | Bhushan Kumar,21,3,9829,138,male,other,https://www.youtube.com/watch?v=JGnK-KMAhr0,,,,,,,,,,,
52,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,Shyam Tuje Milne Ka Satsang Hi Bahana Hai | Master Rana | Krishna Bhajan | Soormandir,15,7,1059,7.9,male,other,https://www.youtube.com/watch?v=M1yUsEfd-9E,,,,,,,,,,,
53,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,एकादशी स्पेशल : कभी रूठना ना मुझसे सांवरे - Sanjay Mittal - Khatu Shyam Bhajan 2019 #Saawariya,19,9,17249,82,male,other,https://www.youtube.com/watch?v=Na16VUOCsxE,,,,,,,,,,,
54,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Radha Dhoondh Rahi | राधा ढूंढ़ रही | Shyam Ji Ka Lifafa | Krishna Bhajan | Janmashatmi Song,13,6,14759,23,female,other,https://www.youtube.com/watch?v=5bCBKfdNIdI,,,,,,,,,,,
